代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj920000,安徽凤凰,18.08,0.16,0.893,18.02,18.08,17.92,18.11,18.15,17.83,314741.0,5675182.0,15:30:02
bj920001,纬达光电,19.76,-1.57,-7.361,19.76,19.78,21.33,19.3,20.66,18.85,12871109.0,252320814.0,15:30:02
bj920002,万达轴承,92.23,-0.56,-0.604,92.23,92.24,92.79,92.0,93.49,92.0,402181.0,37245127.0,15:30:02
bj920003,中诚咨询,30.24,0.05,0.166,30.23,30.24,30.19,30.1,30.26,29.85,279855.0,8437272.0,15:30:02
bj920005,鼎佳精密,38.11,0.18,0.475,38.1,38.11,37.93,37.85,38.16,37.81,172317.0,6548378.0,15:30:02
bj920006,晟楠科技,27.36,-0.68,-2.425,27.35,27.36,28.04,27.81,28.0,27.27,3134227.0,86276123.0,15:30:02
bj920007,酉立智能,66.79,0.05,0.075,66.79,66.82,66.74,66.38,66.98,65.58,250860.0,16685565.0,15:30:02
bj920008,成电光信,31.29,-0.38,-1.2,31.28,31.29,31.67,31.67,31.67,30.88,2186766.0,68214043.0,15:30:02
bj920009,丹娜生物,74.15,0.9,1.229,73.88,74.15,73.25,73.0,74.87,72.62,199907.0,14774522.0,15:30:02
bj920010,凯添燃气,14.01,-1.04,-6.91,14.0,14.01,15.05,14.0,14.83,13.8,22685808.0,323086551.0,15:30:02
bj920014,特瑞斯,18.35,0.81,4.618,18.35,18.39,17.54,16.68,20.85,16.22,18710211.0,352721152.0,15:30:02
bj920015,锦华新材,46.51,-0.4,-0.853,46.51,46.53,46.91,46.57,46.89,46.15,1128163.0,52415748.0,15:30:02
bj920016,中草香料,19.56,0.46,2.408,19.56,19.6,19.1,19.06,19.93,19.04,699678.0,13680657.0,15:30:02
bj920017,星昊医药,18.39,0.24,1.322,18.34,18.39,18.15,18.05,18.42,18.04,1137022.0,20832369.0,15:30:02
bj920018,宏远股份,32.87,-0.12,-0.364,32.87,32.9,32.99,32.56,34.2,32.55,3806541.0,126980689.0,15:30:02
bj920019,铜冠矿建,21.52,-0.16,-0.738,21.51,21.52,21.68,21.5,21.65,21.14,3106067.0,66447653.0,15:30:02
bj920020,泰凯英,17.03,0.01,0.059,17.02,17.03,17.02,16.94,17.08,16.92,853903.0,14520779.0,15:30:02
bj920021,流金科技,10.81,0.1,0.934,10.8,10.81,10.71,10.72,10.97,10.57,18656406.0,201293070.0,15:30:02
bj920022,世昌股份,29.3,0.01,0.034,29.24,29.3,29.29,28.93,29.39,28.8,207168.0,6038716.0,15:30:02
bj920023,田野股份,4.4,0.02,0.457,4.39,4.4,4.38,4.38,4.4,4.34,5109818.0,22392855.0,15:30:02
bj920026,卓兆点胶,35.5,-0.44,-1.224,35.5,35.56,35.94,36.1,36.15,35.38,693788.0,24761731.0,15:30:02
bj920027,交大铁发,20.6,0.26,1.278,20.59,20.6,20.34,20.25,20.71,20.25,614414.0,12652904.0,15:30:02
bj920029,开发科技,87.6,2.05,2.396,87.6,87.61,85.55,85.98,88.69,85.23,833461.0,72724309.0,15:30:02
bj920030,德众汽车,6.48,0.11,1.727,6.47,6.48,6.37,6.35,6.55,6.32,1344591.0,8668901.0,15:30:02
bj920033,康普化学,16.99,0.07,0.414,16.99,17.0,16.92,16.91,17.04,16.68,581014.0,9837621.0,15:30:02
bj920035,精创电气,37.22,0.13,0.35,37.22,37.3,37.09,37.18,37.66,37.06,237472.0,8875283.0,15:30:02
bj920037,广信科技,85.4,2.43,2.929,85.4,85.44,82.97,83.8,86.87,83.1,2249805.0,192549670.0,15:30:02
bj920039,国义招标,11.25,0.22,1.995,11.24,11.25,11.03,11.06,11.28,10.94,1324521.0,14803195.0,15:30:02
bj920045,蘅东光,351.8,-4.22,-1.185,351.8,351.88,356.02,350.0,359.58,342.09,1101519.0,384706803.0,15:30:02
bj920046,亿能电力,33.69,1.2,3.693,33.69,33.7,32.49,32.57,35.36,32.0,15329016.0,518421511.0,15:30:02
bj920047,诺思兰德,23.33,0.16,0.691,23.32,23.33,23.17,22.85,23.5,22.75,2190158.0,50919022.0,15:30:02
bj920050,爱舍伦,35.65,0.25,0.706,35.65,35.7,35.4,35.48,35.83,35.3,337265.0,12018115.0,15:30:02
bj920056,能之光,25.35,0.06,0.237,25.35,25.36,25.29,25.29,25.4,25.08,482780.0,12207373.0,15:30:02
bj920057,百甲科技,7.03,0.12,1.737,7.02,7.03,6.91,6.85,7.06,6.8,2034293.0,14196855.0,15:30:02
bj920058,华洋赛车,30.42,0.04,0.132,30.41,30.42,30.38,30.46,30.59,30.01,275197.0,8353366.0,15:30:02
bj920060,万源通,33.41,0.67,2.046,33.4,33.41,32.74,32.6,33.5,32.31,3163258.0,104125694.0,15:30:02
bj920061,西磁科技,28.3,-0.11,-0.387,28.29,28.3,28.41,28.29,28.47,27.88,599494.0,16947780.0,15:30:02
bj920062,科润智控,12.87,0.58,4.719,12.87,12.88,12.29,12.2,13.16,12.2,19503106.0,248611586.0,15:30:02
bj920066,科拜尔,25.98,0.22,0.854,25.96,25.98,25.76,25.79,25.98,25.62,433561.0,11189498.0,15:30:02
bj920068,天工股份,21.16,0.1,0.475,21.15,21.16,21.06,21.1,21.45,20.82,2797790.0,59213197.0,15:30:02
bj920075,柏星龙,25.2,-0.02,-0.079,25.14,25.2,25.22,25.16,25.29,24.81,812036.0,20369928.0,15:30:02
bj920076,国亮新材,23.16,0.09,0.39,23.15,23.16,23.07,23.09,23.24,22.8,601641.0,13876549.0,15:30:02
bj920077,吉林碳谷,17.31,0.18,1.051,17.31,17.32,17.13,17.15,17.5,17.06,4210583.0,73106788.0,15:30:02
bj920080,奥美森,26.62,0.01,0.038,26.62,26.67,26.61,26.67,26.74,26.32,354236.0,9422946.0,15:30:02
bj920082,方正阀门,17.61,-0.56,-3.082,17.61,17.62,18.17,18.19,18.19,17.53,4163791.0,74126148.0,15:30:02
bj920086,科马材料,31.64,0.17,0.54,31.6,31.64,31.47,31.3,31.7,31.16,585657.0,18477874.0,15:30:02
bj920087,秋乐种业,19.35,0.12,0.624,19.35,19.36,19.23,19.0,20.3,18.7,16028372.0,313453922.0,15:30:02
bj920088,科力股份,73.3,-6.98,-8.695,73.3,73.32,80.28,76.52,81.74,72.35,10800275.0,823079988.0,15:30:02
bj920089,禾昌聚合,20.14,0.14,0.7,20.14,20.16,20.0,19.88,20.59,19.83,1929154.0,38882987.0,15:30:02
bj920090,同辉信息,7.33,0.47,6.851,7.33,7.34,6.86,6.8,7.5,6.77,22632430.0,163249941.0,15:30:02
bj920091,大鹏工业,60.09,-0.98,-1.605,60.08,60.09,61.07,61.08,61.72,59.83,711975.0,43073704.0,15:30:02
bj920092,汉鑫科技,37.29,2.24,6.391,37.29,37.3,35.05,35.1,37.8,34.86,3168165.0,116242568.0,15:30:02
bj920098,科隆新材,29.48,0.59,2.042,29.48,29.53,28.89,29.39,29.95,29.0,1227508.0,36196850.0,15:30:02
bj920099,瑞华技术,35.66,0.11,0.309,35.66,35.7,35.55,35.18,36.41,34.6,2784026.0,99333667.0,15:30:02
bj920100,三协电机,59.76,0.06,0.101,59.76,59.78,59.7,59.62,60.25,58.95,346910.0,20730197.0,15:30:02
bj920101,志高机械,39.09,0.29,0.747,39.04,39.09,38.8,38.83,39.14,38.68,427360.0,16643900.0,15:30:02
bj920106,林泰新材,72.23,1.46,2.063,72.23,72.6,70.77,70.99,74.44,70.22,760965.0,55324429.0,15:30:02
bj920108,宏海科技,12.25,0.07,0.575,12.22,12.25,12.18,12.18,12.35,12.1,1020857.0,12475224.0,15:30:02
bj920110,雷特科技,37.66,-1.04,-2.687,37.54,37.66,38.7,38.7,38.7,37.11,872145.0,32871108.0,15:30:02
bj920111,聚星科技,26.35,0.93,3.659,26.34,26.35,25.42,25.27,27.22,25.07,5312060.0,140414593.0,15:30:02
bj920112,巴兰仕,37.4,0.09,0.241,37.4,37.44,37.31,37.44,37.63,37.2,134956.0,5055170.0,15:30:02
