代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj920000,安徽凤凰,17.69,-0.39,-2.157,17.69,17.71,18.08,17.87,18.05,17.32,668568.0,11753054.0,15:30:02
bj920001,纬达光电,19.9,0.14,0.709,19.89,19.9,19.76,18.38,19.99,18.31,8253589.0,158526777.0,15:30:02
bj920002,万达轴承,90.5,-1.73,-1.876,90.5,90.51,92.23,91.66,91.66,89.55,633481.0,57306050.0,15:30:02
bj920003,中诚咨询,29.69,-0.55,-1.819,29.68,29.69,30.24,30.01,30.08,29.4,417182.0,12365442.0,15:30:02
bj920005,鼎佳精密,36.87,-1.24,-3.254,36.84,36.87,38.11,37.5,38.08,36.77,528234.0,19660228.0,15:30:02
bj920006,晟楠科技,26.77,-0.59,-2.156,26.77,26.79,27.36,27.36,28.22,26.68,2690011.0,73042908.0,15:30:02
bj920007,酉立智能,66.13,-0.66,-0.988,65.9,66.13,66.79,66.48,67.17,65.13,292309.0,19292387.0,15:30:02
bj920008,成电光信,30.41,-0.88,-2.812,30.41,30.48,31.29,31.29,31.55,30.25,2062990.0,63381407.0,15:30:02
bj920009,丹娜生物,72.41,-1.74,-2.347,72.41,72.43,74.15,73.1,74.29,72.35,162990.0,11865989.0,15:30:02
bj920010,凯添燃气,14.3,0.29,2.07,14.29,14.3,14.01,16.47,16.49,14.02,30626566.0,471386470.0,15:30:02
bj920014,特瑞斯,18.12,-0.23,-1.253,18.12,18.15,18.35,20.5,21.99,17.61,19055281.0,383437433.0,15:30:02
bj920015,锦华新材,44.8,-1.71,-3.677,44.77,44.8,46.51,45.84,45.88,44.0,1803146.0,80525005.0,15:30:02
bj920016,中草香料,19.43,-0.13,-0.665,19.43,19.44,19.56,19.37,19.73,19.26,644208.0,12569995.0,15:30:02
bj920017,星昊医药,18.13,-0.26,-1.414,18.06,18.13,18.39,18.12,18.18,17.92,1561853.0,28179337.0,15:30:02
bj920018,宏远股份,32.48,-0.39,-1.186,32.48,32.49,32.87,32.6,33.37,31.9,3598689.0,117355582.0,15:30:02
bj920019,铜冠矿建,21.23,-0.29,-1.348,21.23,21.24,21.52,21.09,21.66,20.8,3723236.0,79065828.0,15:30:02
bj920020,泰凯英,16.68,-0.35,-2.055,16.68,16.69,17.03,16.98,16.98,16.61,1191264.0,19980174.0,15:30:02
bj920021,流金科技,10.69,-0.12,-1.11,10.69,10.7,10.81,10.5,10.69,10.05,23495310.0,242711285.0,15:30:02
bj920022,世昌股份,28.84,-0.46,-1.57,28.84,28.88,29.3,29.28,29.32,28.78,294624.0,8545067.0,15:30:02
bj920023,田野股份,4.34,-0.06,-1.364,4.34,4.35,4.4,4.34,4.39,4.32,5287864.0,22970329.0,15:30:02
bj920026,卓兆点胶,35.3,-0.2,-0.563,35.25,35.3,35.5,35.28,35.97,34.23,699523.0,24499031.0,15:30:02
bj920027,交大铁发,20.16,-0.44,-2.136,20.16,20.21,20.6,20.4,20.59,20.0,895830.0,18120746.0,15:30:02
bj920029,开发科技,85.54,-2.06,-2.352,85.54,85.56,87.6,86.5,86.5,84.81,709058.0,60710148.0,15:30:02
bj920030,德众汽车,6.38,-0.1,-1.543,6.38,6.39,6.48,6.46,6.48,6.27,1542063.0,9843357.0,15:30:02
bj920033,康普化学,16.65,-0.34,-2.001,16.61,16.65,16.99,16.83,17.01,16.38,973511.0,16213241.0,15:30:02
bj920035,精创电气,36.68,-0.54,-1.451,36.61,36.68,37.22,37.21,37.21,36.3,328159.0,12002617.0,15:30:02
bj920036,N觅睿,41.3,19.78,91.914,41.3,41.31,21.52,48.8,49.66,40.88,11606724.0,506360261.0,15:30:02
bj920037,广信科技,82.81,-2.59,-3.033,82.81,82.84,85.4,83.4,84.18,81.38,1954477.0,162058877.0,15:30:02
bj920039,国义招标,11.02,-0.23,-2.044,11.02,11.03,11.25,11.1,11.18,10.94,1204773.0,13281524.0,15:30:02
bj920045,蘅东光,328.95,-22.85,-6.495,328.94,328.95,351.8,335.2,337.99,316.8,1403422.0,456247785.0,15:30:02
bj920046,亿能电力,37.08,3.39,10.062,37.08,37.09,33.69,31.8,39.33,31.68,18584017.0,657746905.0,15:30:02
bj920047,诺思兰德,23.02,-0.31,-1.329,23.02,23.06,23.33,23.33,23.96,22.92,2646216.0,61821460.0,15:30:02
bj920050,爱舍伦,35.2,-0.45,-1.262,35.2,35.22,35.65,35.59,35.6,35.1,382089.0,13454240.0,15:30:02
bj920056,能之光,24.94,-0.41,-1.617,24.94,25.0,25.35,25.25,25.4,24.54,882637.0,21998606.0,15:30:02
bj920057,百甲科技,6.95,-0.08,-1.138,6.94,6.95,7.03,7.0,7.07,6.88,1747867.0,12161191.0,15:30:02
bj920058,华洋赛车,29.72,-0.7,-2.301,29.67,29.72,30.42,30.42,30.57,29.56,337637.0,10126578.0,15:30:02
bj920060,万源通,32.8,-0.61,-1.826,32.79,32.8,33.41,32.69,32.83,31.9,3227100.0,104408220.0,15:30:02
bj920061,西磁科技,27.56,-0.74,-2.615,27.53,27.56,28.3,28.3,28.52,27.33,833047.0,23134119.0,15:30:02
